epoch,vqa_loss,attn_loss,accuracy
1,1.4062,1.6478,0.2481
2,1.3969,1.6444,0.2484
3,1.3942,1.6439,0.2458
4,1.3929,1.6437,0.2538
5,1.3885,1.6443,0.2579
6,1.3874,1.6433,0.2647
7,1.3870,1.6436,0.2595
8,1.3854,1.6419,0.2657
9,1.3849,1.6412,0.2648
10,1.3832,1.6425,0.2718
11,1.3829,1.6428,0.2778
12,1.3804,1.6417,0.2804
13,1.3795,1.6430,0.2834
14,1.3774,1.6422,0.2829
15,1.3745,1.6438,0.2913
16,1.3736,1.6427,0.2983
17,1.3708,1.6423,0.2983
18,1.3720,1.6435,0.2998
19,1.3683,1.6424,0.3031
20,1.3738,1.6427,0.2937
21,1.3722,1.6434,0.2995
22,1.3681,1.6424,0.3069
23,1.3658,1.6414,0.3051
24,1.3628,1.6451,0.3164
25,1.3593,1.6420,0.3150
